Minute,Prefix,K1,K2,DTE,Credit,Margin,Exp Return,Ann Return,Action
2026-03-23 10:06:00,[MO],8000,8200,25,201.40,200.00,0.70%,10.22%,Sell MO2604C8000; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P8000
2026-03-23 10:07:00,[MO],8000,8200,25,202.80,200.00,1.40%,20.44%,Sell MO2604C8000; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P8000
2026-03-23 10:08:00,[MO],7800,8200,25,400.20,400.00,0.05%,0.73%,Sell MO2604C7800; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P7800
2026-03-23 10:09:00,[MO],8000,8100,25,100.40,100.00,0.40%,5.84%,Sell MO2604C8000; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P8000
2026-03-23 10:10:00,[MO],8000,8200,25,200.40,200.00,0.20%,2.92%,Sell MO2604C8000; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P8000
2026-03-23 10:11:00,[IO],4600,4650,25,50.60,50.00,1.20%,17.52%,Sell IO2604C4600; Buy IO2604C4650; Sell IO2604P4650; Buy IO2604P4600
2026-03-23 10:12:00,[MO],8000,8800,25,800.20,800.00,0.02%,0.36%,Sell MO2604C8000; Buy MO2604C8800; Sell MO2604P8800; Buy MO2604P8000
2026-03-23 10:13:00,[MO],8000,8100,25,100.80,100.00,0.80%,11.68%,Sell MO2604C8000; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P8000
2026-03-23 10:14:00,,,,,,,,,
2026-03-23 10:15:00,,,,,,,,,
2026-03-23 10:16:00,,,,,,,,,
2026-03-23 10:17:00,[MO],8000,8100,25,100.60,100.00,0.60%,8.76%,Sell MO2604C8000; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P8000
2026-03-23 10:18:00,,,,,,,,,
2026-03-23 10:19:00,,,,,,,,,
2026-03-23 10:20:00,,,,,,,,,
2026-03-23 10:21:00,,,,,,,,,
2026-03-23 10:22:00,,,,,,,,,
2026-03-23 10:23:00,,,,,,,,,
2026-03-23 10:24:00,,,,,,,,,
2026-03-23 10:25:00,,,,,,,,,
2026-03-23 10:26:00,,,,,,,,,
2026-03-23 10:27:00,,,,,,,,,
2026-03-23 10:28:00,,,,,,,,,
2026-03-23 10:29:00,,,,,,,,,
2026-03-23 10:30:00,,,,,,,,,
2026-03-23 10:31:00,,,,,,,,,
2026-03-23 10:32:00,[MO],7900,8000,25,100.00,100.00,0.00%,0.00%,Sell MO2604C7900; Buy MO2604C8000; Sell MO2604P8000; Buy MO2604P7900
2026-03-23 10:33:00,,,,,,,,,
2026-03-23 10:34:00,,,,,,,,,
2026-03-23 10:35:00,[MO],7600,8400,25,800.20,800.00,0.03%,0.37%,Sell MO2604C7600; Buy MO2604C8400; Sell MO2604P8400; Buy MO2604P7600
2026-03-23 10:36:00,,,,,,,,,
2026-03-23 10:37:00,,,,,,,,,
2026-03-23 10:38:00,,,,,,,,,
2026-03-23 10:39:00,,,,,,,,,
2026-03-23 10:40:00,,,,,,,,,
2026-03-23 10:41:00,,,,,,,,,
2026-03-23 10:42:00,,,,,,,,,
2026-03-23 10:43:00,,,,,,,,,
2026-03-23 10:44:00,,,,,,,,,
2026-03-23 10:45:00,,,,,,,,,
2026-03-23 10:46:00,,,,,,,,,
2026-03-23 10:47:00,,,,,,,,,
2026-03-23 10:48:00,,,,,,,,,
2026-03-23 10:49:00,[MO],8000,8200,25,201.20,200.00,0.60%,8.76%,Sell MO2604C8000; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P8000
2026-03-23 10:50:00,,,,,,,,,
2026-03-23 10:51:00,[MO],8000,8200,25,200.60,200.00,0.30%,4.38%,Sell MO2604C8000; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P8000
2026-03-23 10:52:00,[MO],8000,8200,25,201.00,200.00,0.50%,7.30%,Sell MO2604C8000; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P8000
2026-03-23 10:53:00,[MO],8000,8200,25,201.40,200.00,0.70%,10.22%,Sell MO2604C8000; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P8000
2026-03-23 10:54:00,[MO],8000,8200,25,201.20,200.00,0.60%,8.76%,Sell MO2604C8000; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P8000
2026-03-23 10:55:00,,,,,,,,,
2026-03-23 10:56:00,,,,,,,,,
2026-03-23 10:57:00,[MO],8000,8200,25,200.80,200.00,0.40%,5.84%,Sell MO2604C8000; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P8000
2026-03-23 10:58:00,[MO],8000,8200,25,200.40,200.00,0.20%,2.92%,Sell MO2604C8000; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P8000
2026-03-23 10:59:00,[MO],8000,8200,25,201.80,200.00,0.90%,13.14%,Sell MO2604C8000; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P8000
2026-03-23 11:00:00,[MO],8000,8200,25,202.20,200.00,1.10%,16.06%,Sell MO2604C8000; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P8000
2026-03-23 11:01:00,,,,,,,,,
2026-03-23 11:02:00,,,,,,,,,
2026-03-23 11:03:00,[MO],8000,8200,25,200.20,200.00,0.10%,1.46%,Sell MO2604C8000; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P8000
2026-03-23 11:04:00,,,,,,,,,
2026-03-23 11:05:00,[MO],8000,8100,25,100.20,100.00,0.20%,2.92%,Sell MO2604C8000; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P8000
2026-03-23 11:06:00,,,,,,,,,
2026-03-23 11:07:00,,,,,,,,,
2026-03-23 11:08:00,,,,,,,,,
2026-03-23 11:09:00,,,,,,,,,
2026-03-23 11:10:00,[MO],8000,8200,25,201.40,200.00,0.70%,10.22%,Sell MO2604C8000; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P8000
2026-03-23 11:11:00,[MO],7900,8300,25,401.60,400.00,0.40%,5.84%,Sell MO2604C7900; Buy MO2604C8300; Sell MO2604P8300; Buy MO2604P7900
2026-03-23 11:12:00,,,,,,,,,
2026-03-23 11:13:00,[MO],8000,8500,25,500.80,500.00,0.16%,2.34%,Sell MO2604C8000; Buy MO2604C8500; Sell MO2604P8500; Buy MO2604P8000
2026-03-23 11:14:00,[MO],7900,8400,25,500.20,500.00,0.04%,0.58%,Sell MO2604C7900; Buy MO2604C8400; Sell MO2604P8400; Buy MO2604P7900
2026-03-23 11:15:00,,,,,,,,,
2026-03-23 11:16:00,,,,,,,,,
2026-03-23 11:17:00,[MO],8000,8200,25,200.20,200.00,0.10%,1.46%,Sell MO2604C8000; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P8000
2026-03-23 11:18:00,,,,,,,,,
2026-03-23 11:19:00,[MO],8000,8200,25,201.60,200.00,0.80%,11.68%,Sell MO2604C8000; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P8000
2026-03-23 11:20:00,,,,,,,,,
2026-03-23 11:21:00,,,,,,,,,
2026-03-23 11:22:00,,,,,,,,,
2026-03-23 11:23:00,,,,,,,,,
2026-03-23 11:24:00,[MO],8000,8200,25,200.60,200.00,0.30%,4.38%,Sell MO2604C8000; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P8000
2026-03-23 11:25:00,,,,,,,,,
2026-03-23 11:26:00,,,,,,,,,
2026-03-23 11:27:00,,,,,,,,,
2026-03-23 11:28:00,,,,,,,,,
2026-03-23 11:29:00,,,,,,,,,
2026-03-23 13:00:00,[MO],8000,8100,25,100.40,100.00,0.40%,5.84%,Sell MO2604C8000; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P8000
2026-03-23 13:01:00,[MO],7900,8200,25,300.80,300.00,0.27%,3.89%,Sell MO2604C7900; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P7900
2026-03-23 13:02:00,[MO],7900,8200,25,301.20,300.00,0.40%,5.84%,Sell MO2604C7900; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P7900
2026-03-23 13:03:00,[MO],7900,8200,25,300.40,300.00,0.13%,1.95%,Sell MO2604C7900; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P7900
2026-03-23 13:04:00,,,,,,,,,
2026-03-23 13:05:00,,,,,,,,,
2026-03-23 13:06:00,,,,,,,,,
2026-03-23 13:07:00,[MO],8000,8100,25,100.80,100.00,0.80%,11.68%,Sell MO2604C8000; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P8000
2026-03-23 13:08:00,[MO],8000,8100,25,102.20,100.00,2.20%,32.12%,Sell MO2604C8000; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P8000
2026-03-23 13:09:00,[MO],8000,8100,25,103.60,100.00,3.60%,52.56%,Sell MO2604C8000; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P8000
2026-03-23 13:10:00,[MO],8000,8100,25,102.40,100.00,2.40%,35.04%,Sell MO2604C8000; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P8000
2026-03-23 13:11:00,[MO],8000,8100,25,102.40,100.00,2.40%,35.04%,Sell MO2604C8000; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P8000
2026-03-23 13:12:00,[MO],8000,8200,25,201.00,200.00,0.50%,7.30%,Sell MO2604C8000; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P8000
2026-03-23 13:13:00,[MO],8000,8200,25,201.20,200.00,0.60%,8.76%,Sell MO2604C8000; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P8000
2026-03-23 13:14:00,[MO],8000,8100,25,101.40,100.00,1.40%,20.44%,Sell MO2604C8000; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P8000
2026-03-23 13:15:00,[MO],8000,8100,25,103.60,100.00,3.60%,52.56%,Sell MO2604C8000; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P8000
2026-03-23 13:16:00,[MO],8000,8100,25,101.20,100.00,1.20%,17.52%,Sell MO2604C8000; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P8000
2026-03-23 13:17:00,[MO],8000,8100,25,101.20,100.00,1.20%,17.52%,Sell MO2604C8000; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P8000
2026-03-23 13:18:00,[MO],8000,8100,25,101.80,100.00,1.80%,26.28%,Sell MO2604C8000; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P8000
2026-03-23 13:19:00,[MO],8000,8100,25,100.60,100.00,0.60%,8.76%,Sell MO2604C8000; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P8000
2026-03-23 13:20:00,[MO],7100,8200,25,1100.20,1100.00,0.02%,0.27%,Sell MO2604C7100; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P7100
2026-03-23 13:21:00,[MO],7900,8200,25,301.40,300.00,0.47%,6.81%,Sell MO2604C7900; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P7900
2026-03-23 13:22:00,[MO],8000,8200,25,200.20,200.00,0.10%,1.46%,Sell MO2604C8000; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P8000
2026-03-23 13:23:00,[MO],8000,8200,25,200.20,200.00,0.10%,1.46%,Sell MO2604C8000; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P8000
2026-03-23 13:24:00,[MO],8000,8100,25,101.00,100.00,1.00%,14.60%,Sell MO2604C8000; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P8000
2026-03-23 13:25:00,,,,,,,,,
2026-03-23 13:26:00,[MO],8000,8200,25,201.20,200.00,0.60%,8.76%,Sell MO2604C8000; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P8000
2026-03-23 13:27:00,[IO],4450,4700,25,250.40,250.00,0.16%,2.34%,Sell IO2604C4450; Buy IO2604C4700; Sell IO2604P4700; Buy IO2604P4450
2026-03-23 13:28:00,[MO],8000,8100,25,100.20,100.00,0.20%,2.92%,Sell MO2604C8000; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P8000
2026-03-23 13:29:00,[MO],7100,7200,25,100.60,100.00,0.60%,8.76%,Sell MO2604C7100; Buy MO2604C7200; Sell MO2604P7200; Buy MO2604P7100
2026-03-23 13:30:00,[IO],4600,4650,25,51.00,50.00,2.00%,29.20%,Sell IO2604C4600; Buy IO2604C4650; Sell IO2604P4650; Buy IO2604P4600
2026-03-23 13:31:00,,,,,,,,,
2026-03-23 13:32:00,[IO],4600,4650,25,50.40,50.00,0.80%,11.68%,Sell IO2604C4600; Buy IO2604C4650; Sell IO2604P4650; Buy IO2604P4600
2026-03-23 13:33:00,[IO],4600,4650,25,50.60,50.00,1.20%,17.52%,Sell IO2604C4600; Buy IO2604C4650; Sell IO2604P4650; Buy IO2604P4600
2026-03-23 13:34:00,[MO],7900,8200,25,301.60,300.00,0.53%,7.79%,Sell MO2604C7900; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P7900
2026-03-23 13:35:00,[MO],7900,8100,25,201.60,200.00,0.80%,11.68%,Sell MO2604C7900; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P7900
2026-03-23 13:36:00,,,,,,,,,
2026-03-23 13:37:00,[IO],4600,4850,25,250.40,250.00,0.16%,2.34%,Sell IO2604C4600; Buy IO2604C4850; Sell IO2604P4850; Buy IO2604P4600
2026-03-23 13:38:00,[MO],8000,8200,25,201.20,200.00,0.60%,8.76%,Sell MO2604C8000; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P8000
2026-03-23 13:39:00,[MO],8000,8200,25,200.20,200.00,0.10%,1.46%,Sell MO2604C8000; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P8000
2026-03-23 13:40:00,,,,,,,,,
2026-03-23 13:41:00,[MO],7900,8100,25,200.80,200.00,0.40%,5.84%,Sell MO2604C7900; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P7900
2026-03-23 13:42:00,[MO],8000,8200,25,201.80,200.00,0.90%,13.14%,Sell MO2604C8000; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P8000
2026-03-23 13:43:00,,,,,,,,,
2026-03-23 13:44:00,[MO],8000,8100,25,100.40,100.00,0.40%,5.84%,Sell MO2604C8000; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P8000
2026-03-23 13:45:00,[MO],8000,8100,25,103.00,100.00,3.00%,43.80%,Sell MO2604C8000; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P8000
2026-03-23 13:46:00,[MO],8000,8100,25,101.00,100.00,1.00%,14.60%,Sell MO2604C8000; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P8000
2026-03-23 13:47:00,[MO],8000,8100,25,101.40,100.00,1.40%,20.44%,Sell MO2604C8000; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P8000
2026-03-23 13:48:00,[MO],8000,8100,25,102.60,100.00,2.60%,37.96%,Sell MO2604C8000; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P8000
2026-03-23 13:49:00,[MO],8000,8100,25,101.00,100.00,1.00%,14.60%,Sell MO2604C8000; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P8000
2026-03-23 13:50:00,[MO],8000,8100,25,100.60,100.00,0.60%,8.76%,Sell MO2604C8000; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P8000
2026-03-23 13:51:00,[MO],8000,8100,25,100.80,100.00,0.80%,11.68%,Sell MO2604C8000; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P8000
2026-03-23 13:52:00,[MO],8000,8100,25,105.20,100.00,5.20%,75.92%,Sell MO2604C8000; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P8000
2026-03-23 13:53:00,[MO],8000,8100,25,102.80,100.00,2.80%,40.88%,Sell MO2604C8000; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P8000
2026-03-23 13:54:00,[MO],8000,8100,25,101.60,100.00,1.60%,23.36%,Sell MO2604C8000; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P8000
2026-03-23 13:55:00,[MO],8000,8100,25,100.80,100.00,0.80%,11.68%,Sell MO2604C8000; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P8000
2026-03-23 13:56:00,[MO],8000,8100,25,101.40,100.00,1.40%,20.44%,Sell MO2604C8000; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P8000
2026-03-23 13:57:00,[MO],7500,8100,25,600.00,600.00,0.00%,0.00%,Sell MO2604C7500; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P7500
2026-03-23 13:58:00,[MO],8000,8100,25,101.80,100.00,1.80%,26.28%,Sell MO2604C8000; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P8000
2026-03-23 13:59:00,[MO],7900,8100,25,203.20,200.00,1.60%,23.36%,Sell MO2604C7900; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P7900
2026-03-23 14:00:00,[MO],8000,8100,25,101.00,100.00,1.00%,14.60%,Sell MO2604C8000; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P8000
2026-03-23 14:01:00,[MO],8000,8100,25,102.40,100.00,2.40%,35.04%,Sell MO2604C8000; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P8000
2026-03-23 14:02:00,[MO],7900,8100,25,201.00,200.00,0.50%,7.30%,Sell MO2604C7900; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P7900
2026-03-23 14:03:00,[MO],8000,8100,25,101.80,100.00,1.80%,26.28%,Sell MO2604C8000; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P8000
2026-03-23 14:04:00,,,,,,,,,
2026-03-23 14:05:00,[MO],8000,8200,25,200.60,200.00,0.30%,4.38%,Sell MO2604C8000; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P8000
2026-03-23 14:06:00,[MO],8000,8100,25,102.40,100.00,2.40%,35.04%,Sell MO2604C8000; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P8000
2026-03-23 14:07:00,[MO],8000,8200,25,203.40,200.00,1.70%,24.82%,Sell MO2604C8000; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P8000
2026-03-23 14:08:00,[MO],7900,8200,25,300.40,300.00,0.13%,1.95%,Sell MO2604C7900; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P7900
2026-03-23 14:09:00,[MO],7500,8200,25,700.60,700.00,0.09%,1.25%,Sell MO2604C7500; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P7500
2026-03-23 14:10:00,,,,,,,,,
2026-03-23 14:11:00,[MO],7900,8200,25,302.80,300.00,0.93%,13.63%,Sell MO2604C7900; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P7900
2026-03-23 14:12:00,[MO],7900,8100,25,201.20,200.00,0.60%,8.76%,Sell MO2604C7900; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P7900
2026-03-23 14:13:00,[MO],7900,8100,25,200.60,200.00,0.30%,4.38%,Sell MO2604C7900; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P7900
2026-03-23 14:14:00,[MO],7600,8100,25,500.20,500.00,0.04%,0.58%,Sell MO2604C7600; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P7600
2026-03-23 14:15:00,[MO],8000,8200,25,200.80,200.00,0.40%,5.84%,Sell MO2604C8000; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P8000
2026-03-23 14:16:00,[MO],8000,8200,25,200.80,200.00,0.40%,5.84%,Sell MO2604C8000; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P8000
2026-03-23 14:17:00,[MO],7600,8000,25,401.20,400.00,0.30%,4.38%,Sell MO2604C7600; Buy MO2604C8000; Sell MO2604P8000; Buy MO2604P7600
2026-03-23 14:18:00,[IO],4450,4750,25,300.40,300.00,0.13%,1.95%,Sell IO2604C4450; Buy IO2604C4750; Sell IO2604P4750; Buy IO2604P4450
2026-03-23 14:19:00,[MO],7900,8200,25,301.60,300.00,0.53%,7.79%,Sell MO2604C7900; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P7900
2026-03-23 14:20:00,,,,,,,,,
2026-03-23 14:21:00,[MO],7000,7200,25,200.40,200.00,0.20%,2.92%,Sell MO2604C7000; Buy MO2604C7200; Sell MO2604P7200; Buy MO2604P7000
2026-03-23 14:22:00,[MO],8000,8200,25,200.40,200.00,0.20%,2.92%,Sell MO2604C8000; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P8000
2026-03-23 14:23:00,[MO],8000,8200,25,201.00,200.00,0.50%,7.30%,Sell MO2604C8000; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P8000
2026-03-23 14:24:00,[MO],7900,8200,25,301.80,300.00,0.60%,8.76%,Sell MO2604C7900; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P7900
2026-03-23 14:25:00,[MO],7400,8100,25,700.80,700.00,0.11%,1.67%,Sell MO2604C7400; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P7400
2026-03-23 14:26:00,[MO],8000,8100,25,103.60,100.00,3.60%,52.56%,Sell MO2604C8000; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P8000
2026-03-23 14:27:00,,,,,,,,,
2026-03-23 14:28:00,,,,,,,,,
2026-03-23 14:29:00,,,,,,,,,
2026-03-23 14:30:00,[MO],7600,8100,25,502.00,500.00,0.40%,5.84%,Sell MO2604C7600; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P7600
2026-03-23 14:31:00,,,,,,,,,
2026-03-23 14:32:00,,,,,,,,,
2026-03-23 14:33:00,[MO],7900,8100,25,200.40,200.00,0.20%,2.92%,Sell MO2604C7900; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P7900
2026-03-23 14:34:00,,,,,,,,,
2026-03-23 14:35:00,,,,,,,,,
2026-03-23 14:36:00,[IO],4450,4600,25,150.20,150.00,0.13%,1.95%,Sell IO2604C4450; Buy IO2604C4600; Sell IO2604P4600; Buy IO2604P4450
2026-03-23 14:37:00,,,,,,,,,
2026-03-23 14:38:00,,,,,,,,,
2026-03-23 14:39:00,[IO],4700,4750,25,50.20,50.00,0.40%,5.84%,Sell IO2604C4700; Buy IO2604C4750; Sell IO2604P4750; Buy IO2604P4700
2026-03-23 14:40:00,[MO],7100,7200,25,100.00,100.00,0.00%,0.00%,Sell MO2604C7100; Buy MO2604C7200; Sell MO2604P7200; Buy MO2604P7100
2026-03-23 14:41:00,[IO],4400,4700,25,300.80,300.00,0.27%,3.89%,Sell IO2604C4400; Buy IO2604C4700; Sell IO2604P4700; Buy IO2604P4400
2026-03-23 14:42:00,[MO],7500,7700,25,200.20,200.00,0.10%,1.46%,Sell MO2604C7500; Buy MO2604C7700; Sell MO2604P7700; Buy MO2604P7500
2026-03-23 14:43:00,,,,,,,,,
2026-03-23 14:44:00,[MO],7100,7200,25,101.00,100.00,1.00%,14.60%,Sell MO2604C7100; Buy MO2604C7200; Sell MO2604P7200; Buy MO2604P7100
2026-03-23 14:45:00,,,,,,,,,
2026-03-23 14:46:00,[MO],8000,8100,25,100.60,100.00,0.60%,8.76%,Sell MO2604C8000; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P8000
2026-03-23 14:47:00,,,,,,,,,
